time,open,high,low,close,Volume
2021/2/12,104.74,105.18,104.68,104.92,116119
2021/2/15,104.89,105.42,104.89,105.36,111305
2021/2/16,105.36,106.07,105.18,106.04,141811
2021/2/17,106.04,106.22,105.78,105.87,163466
2021/2/18,105.87,105.92,105.6,105.68,128792
2021/2/19,105.68,105.74,105.24,105.4,134720
2021/2/22,105.39,105.84,104.98,105.06,158024
2021/2/23,105.06,105.43,104.92,105.24,143834
2021/2/24,105.24,106.1,105.17,105.85,187823
2021/2/25,105.85,106.41,105.81,106.14,520854
2021/2/26,106.14,106.69,105.85,106.51,297279
2021/3/1,106.48,106.89,106.37,106.76,168050
2021/3/2,106.76,106.96,106.66,106.68,152189
2021/3/3,106.68,107.15,106.67,107.01,176795
2021/3/4,107.01,107.99,106.96,107.97,189610
2021/3/5,107.97,108.64,107.82,108.36,250437
2021/3/8,108.31,108.94,108.29,108.83,176845
2021/3/9,108.83,109.23,108.42,108.47,216952
2021/3/10,108.47,108.92,108.34,108.36,207940
2021/3/11,108.36,108.81,108.35,108.49,189750
2021/3/12,108.49,109.17,108.49,109.02,187922
2021/3/15,108.98,109.36,108.91,109.12,164091
2021/3/16,109.12,109.29,108.77,108.99,156574
2021/3/17,108.99,109.33,108.74,108.84,171294
2021/3/18,108.84,109.3,108.62,108.88,231344
2021/3/19,108.88,109.13,108.61,108.85,197284
2021/3/22,108.6,108.96,108.58,108.84,141641
2021/3/23,108.84,108.87,108.41,108.57,157771
2021/3/24,108.57,108.96,108.45,108.72,140669
2021/3/25,108.72,109.24,108.71,109.18,153725
2021/3/26,109.18,109.85,109.13,109.67,144032
2021/3/29,109.72,109.84,109.37,109.76,144124
2021/3/30,109.76,110.43,109.72,110.34,154603
2021/3/31,110.34,110.97,110.27,110.67,196248
2021/4/1,110.67,110.85,110.55,110.59,146902
2021/4/2,110.59,110.75,110.37,110.64,129877
2021/4/5,110.6,110.75,109.96,110.17,129818
2021/4/6,110.17,110.55,109.67,109.73,163564
2021/4/7,109.73,109.94,109.58,109.83,180956
2021/4/8,109.83,109.9,109,109.25,170307
2021/4/9,109.25,109.96,109.19,109.61,153062
2021/4/12,109.61,109.77,109.25,109.37,119203
2021/4/13,109.37,109.75,109.02,109.06,164663
2021/4/14,109.06,109.1,108.75,108.91,147156
2021/4/15,108.91,108.96,108.61,108.74,145972
2021/4/16,108.74,108.97,108.61,108.74,134274
2021/4/19,108.73,108.83,108.01,108.14,167888
2021/4/20,108.14,108.55,107.97,108.08,163532
2021/4/21,108.08,108.28,107.87,108.03,134247
2021/4/22,108.03,108.23,107.81,107.95,146938
2021/4/23,107.95,108.15,107.48,107.87,151745
2021/4/26,107.89,108.2,107.64,108.08,148002
2021/4/27,108.08,108.77,108.06,108.69,134974
2021/4/28,108.69,109.08,108.57,108.58,175518
2021/4/29,108.58,109.22,108.43,108.92,141732
2021/4/30,108.92,109.37,108.71,109.29,161832
2021/5/3,109.27,109.7,108.89,109.07,136049
2021/5/4,109.07,109.49,109,109.29,167481
2021/5/5,109.29,109.48,109.14,109.19,135501
2021/5/6,109.19,109.43,109,109.08,180537
2021/5/7,109.08,109.29,108.33,108.54,233387
2021/5/10,108.57,109.06,108.47,108.79,182301
2021/5/11,108.79,108.98,108.35,108.61,188507
2021/5/12,108.61,109.71,108.56,109.62,232071
2021/5/13,109.62,109.79,109.41,109.43,224890
2021/5/14,109.43,109.66,109.19,109.33,156028
2021/5/17,109.24,109.5,109.07,109.17,136593
2021/5/18,109.17,109.28,108.83,108.88,143434
2021/5/19,108.88,109.34,108.57,109.2,209430
