time,open,high,low,close,Volume
2020/9/14,106.09,106.17,104.27,104.55,892800
2020/9/21,104.48,105.7,104,105.55,1026990
2020/9/28,105.47,105.8,104.94,105.31,1146433
2020/10/5,105.24,106.11,105.23,105.59,949477
2020/10/12,105.72,105.8,105.04,105.38,930811
2020/10/19,105.37,105.75,104.34,104.68,839999
2020/10/26,104.66,105.06,104.03,104.65,908663
2020/11/2,104.5,105.35,103.18,103.34,1559412
2020/11/9,103.31,105.68,103.19,104.56,1320384
2020/11/16,104.71,105.14,103.65,103.82,962508
2020/11/23,103.73,104.76,103.68,104.04,961084
2020/11/30,104.01,104.75,103.67,104.17,1059702
2020/12/7,104.03,104.58,103.82,103.96,1107666
2020/12/14,103.98,104.15,102.87,103.24,971195
2020/12/21,103.49,103.89,103.25,103.67,799323
2020/12/28,103.52,103.9,102.96,103.25,618873
2021/1/4,103.06,104.09,102.59,103.95,1245556
2021/1/11,103.85,104.4,103.52,103.82,951466
2021/1/18,103.79,104.09,103.33,103.7,848258
2021/1/25,103.76,104.94,103.56,104.67,829251
2021/2/1,104.77,105.77,104.61,105.32,718067
2021/2/8,105.31,105.67,104.41,104.92,705758
2021/2/15,104.89,106.22,104.89,105.4,680094
2021/2/22,105.39,106.69,104.92,106.51,1307814
2021/3/1,106.48,108.64,106.37,108.36,937081
2021/3/8,108.31,109.23,108.29,109.02,979409
2021/3/15,108.98,109.36,108.61,108.85,920587
2021/3/22,108.6,109.85,108.41,109.67,737838
2021/3/29,109.72,110.97,109.37,110.64,771754
2021/4/5,110.6,110.75,109,109.61,797707
2021/4/12,109.61,109.77,108.61,108.74,711268
2021/4/19,108.73,108.83,107.48,107.87,764350
2021/4/26,107.89,109.37,107.64,109.29,762058
2021/5/3,109.27,109.7,108.33,108.54,852955
2021/5/10,108.57,109.79,108.35,109.33,983797
2021/5/17,109.24,109.5,108.57,108.91,814496
2021/5/24,108.88,110.2,108.56,109.82,790111
2021/5/31,109.77,110.33,109.33,109.48,600954
2021/6/7,109.59,109.84,109.19,109.66,573085
2021/6/14,109.62,110.82,109.6,110.21,696882
2021/6/21,110.21,111.12,109.72,110.78,684586
2021/6/28,110.76,111.66,110.42,111.02,659290
2021/7/5,110.95,111.19,109.53,110.11,753627
2021/7/12,110.11,110.7,109.71,110.03,502968
2021/7/19,110.01,110.59,109.06,110.5,669092
2021/7/26,110.45,110.58,109.36,109.69,803537
2021/8/2,109.69,110.36,108.72,110.21,703505
2021/8/9,110.31,110.8,109.55,109.6,497571
2021/8/16,109.6,110.23,109.11,109.77,638939
2021/8/23,109.62,110.27,109.41,109.8,605883
2021/8/30,109.84,110.42,109.59,109.69,677755
2021/9/6,109.69,110.45,109.59,109.88,612848
2021/9/13,109.88,110.16,109.11,109.97,725768
2021/9/20,109.89,110.79,109.12,110.74,884182
2021/9/27,110.63,112.08,110.53,111.06,976869
2021/10/4,110.89,112.25,110.82,112.21,1021467
2021/10/11,112.12,114.47,112.12,114.2,946802
2021/10/18,114.22,114.7,113.41,113.47,969793
2021/10/25,113.55,114.31,113.25,113.98,1029622
2021/11/1,114.05,114.44,113.3,113.39,977761
2021/11/8,113.32,114.3,112.72,113.85,877008
2021/11/15,113.92,114.97,113.59,113.98,852038
2021/11/22,113.91,115.52,113.05,113.21,1073911
2021/11/29,113.7,113.96,112.53,112.77,1413125
2021/12/6,112.83,113.96,112.83,113.33,842114
2021/12/13,113.27,114.28,113.14,113.7,814077
2021/12/20,113.7,114.51,113.33,114.33,672931
2021/12/27,114.32,115.22,114.31,115.09,434403
2022/1/3,115.09,116.35,114.95,115.47,717700
2022/1/10,115.47,115.85,113.48,114.15,822407
2022/1/17,114.12,115.06,113.6,113.66,824564
2022/1/24,113.64,115.69,113.47,115.19,1094422
2022/1/31,115.28,115.59,114.15,115.14,998918
2022/2/7,115.21,116.34,114.91,115.42,1012335
2022/2/14,115.3,115.87,114.79,115,1193382
2022/2/21,115,115.76,114.41,115.51,1322253
2022/2/28,115.15,115.81,114.65,114.74,1223383
2022/3/7,114.96,117.36,114.81,117.27,1072456
